episode_id,channel,ground_truth,decoded_intent,duration_min,is_training,correct,repair_outcome,recovered,abstained,forced_commit_error
0,base,0,0,0.37317610651095806,,1,,,,
1,base,0,0,0.5330148216296604,,1,,,,
2,base,0,0,0.3559731374945799,,1,,,,
3,base,0,0,0.42509977927868997,,1,,,,
4,base,0,0,0.38594685390483224,,1,,,,
5,base,0,0,0.5176245285866239,,1,,,,
6,base,0,0,0.5512293688943074,,1,,,,
7,base,0,0,0.38551300947290085,,1,,,,
8,base,0,0,0.37866379032640846,,1,,,,
9,base,0,0,0.4459741179289994,,1,,,,
10,base,0,0,0.3980908576450781,,1,,,,
11,base,0,5,0.41660918444323236,,0,,,,
12,base,0,0,0.4952502726774488,,1,,,,
13,base,0,0,0.4847045125781577,,1,,,,
14,base,0,0,0.661654919850513,,1,,,,
15,base,0,10,0.41036372128937565,,0,,,,
16,base,0,0,0.5027655101648227,,1,,,,
17,base,0,0,0.4408642656313527,,1,,,,
18,base,0,0,0.3879362274763372,,1,,,,
19,base,0,0,0.5144165437082836,,1,,,,
20,base,0,0,0.3644657024007855,,1,,,,
21,base,0,0,0.3991973217822086,,1,,,,
22,base,0,0,0.4595515066856633,,1,,,,
23,base,0,0,0.5264228371928288,,1,,,,
24,base,0,0,0.5084932922319322,,1,,,,
25,base,0,0,0.4740387524271112,,1,,,,
26,base,0,0,0.346180229930095,,1,,,,
27,base,0,0,0.41346815780938423,,1,,,,
28,base,0,0,0.4282563554224776,,1,,,,
29,base,0,0,0.38505954394998937,,1,,,,
30,base,0,0,0.3323973278113174,,1,,,,
31,base,0,0,0.4633779994418147,,1,,,,
32,base,0,0,0.5114594814625815,,1,,,,
33,base,0,0,0.42262153817936937,,1,,,,
34,base,0,0,0.5251496351899061,,1,,,,
35,base,0,0,0.35767474666287236,,1,,,,
36,base,0,0,0.3813609001584413,,1,,,,
37,base,0,0,0.4616856347715449,,1,,,,
38,base,0,0,0.41668981930804333,,1,,,,
39,base,0,0,0.5036360346287274,,1,,,,
40,base,0,0,0.48856236297980815,,1,,,,
41,base,0,0,0.4215329258904752,,1,,,,
42,base,0,0,0.3628525112333766,,1,,,,
43,base,0,0,0.4135403790324323,,1,,,,
44,base,0,0,0.4906749937170472,,1,,,,
45,base,0,0,0.5072565555757655,,1,,,,
46,base,0,0,0.416986516438604,,1,,,,
47,base,0,0,0.33213030758986545,,1,,,,
48,base,0,0,0.35466073360654193,,1,,,,
49,base,0,5,0.38232129932806436,,0,,,,
50,base,1,1,0.5685610392417637,,1,,,,
51,base,1,1,0.5138854522571995,,1,,,,
52,base,1,1,0.43366347164091607,,1,,,,
53,base,1,1,0.42335947002798474,,1,,,,
54,base,1,1,0.32974838917265153,,1,,,,
55,base,1,1,0.4696745420815702,,1,,,,
56,base,1,1,0.346872462436112,,1,,,,
57,base,1,1,0.4090915195257083,,1,,,,
58,base,1,1,0.4517735094496167,,1,,,,
59,base,1,1,0.43102391242069,,1,,,,
60,base,1,1,0.464758165940677,,1,,,,
61,base,1,1,0.5747305638149788,,1,,,,
62,base,1,1,0.4798551912121954,,1,,,,
63,base,1,1,0.3633150023324288,,1,,,,
64,base,1,1,0.3808722104838092,,1,,,,
65,base,1,1,0.351230982278998,,1,,,,
66,base,1,1,0.4323552106617806,,1,,,,
